post_id,platform,post_date,content_type,category,likes,comments,shares,views,reach,hashtags_count,total_engagement,engagement_rate,post_month,post_day
1,Instagram,2025-04-10,Image,Technology,2255,265,198,85481,54788,6,2718,4.960940351901876,April,Thursday
2,Twitter,2025-04-19,Video,Travel,1279,47,40,61593,52977,7,1366,2.578477452479378,April,Saturday
3,Facebook,2025-12-09,Text,Technology,3294,300,56,73075,63099,1,3650,5.784560769584305,December,Tuesday
4,Facebook,2025-06-22,Reel,Entertainment,2510,228,105,50522,33043,5,2843,8.603940320188846,June,Sunday
5,Instagram,2025-08-25,Reel,Food,392,12,30,5886,3711,14,434,11.694960926973861,August,Monday
6,Instagram,2025-06-11,Reel,Entertainment,510,37,30,8485,5888,5,577,9.799592391304348,June,Wednesday
7,Instagram,2025-08-04,Reel,Food,1307,171,109,32455,20582,9,1587,7.710620930910504,August,Monday
8,Twitter,2025-09-21,Reel,Fashion,1608,211,154,17767,13953,11,1973,14.140328244821902,September,Sunday
9,Facebook,2025-09-20,Image,Fitness,2271,74,184,29453,24714,4,2529,10.23306627822287,September,Saturday
10,Facebook,2025-10-19,Video,Entertainment,6861,218,441,77280,60709,9,7520,12.38696074717093,October,Sunday
11,Instagram,2025-10-01,Image,Technology,3321,179,180,54442,45650,9,3680,8.061336254107339,October,Wednesday
12,Twitter,2025-01-03,Text,Fashion,1671,223,22,52877,36429,6,1916,5.259545966125889,January,Friday
13,Twitter,2025-01-28,Text,Fitness,202,7,19,13226,7997,2,228,2.8510691509315995,January,Tuesday
14,Instagram,2025-11-22,Image,Technology,7066,802,314,94405,76305,15,8182,10.72275735535024,November,Saturday
15,Instagram,2025-05-29,Reel,Travel,512,16,12,23588,15949,3,540,3.3857922126779108,May,Thursday
16,Instagram,2025-01-28,Text,Technology,3156,318,220,79976,62776,9,3694,5.884414425895247,January,Tuesday
17,Instagram,2025-11-06,Image,Food,1544,102,54,32709,21088,12,1700,8.061456752655538,November,Thursday
18,Facebook,2025-03-06,Reel,Food,2157,264,135,48788,28220,8,2556,9.057406094968108,March,Thursday
19,Instagram,2025-12-22,Text,Travel,6396,322,401,89031,79896,3,7119,8.910333433463503,December,Monday
20,Instagram,2025-01-21,Image,Fashion,841,86,42,38019,22988,2,969,4.215242735340177,January,Tuesday
21,Facebook,2025-09-09,Reel,Fitness,2386,120,203,45948,41166,13,2709,6.580673371228683,September,Tuesday
22,Instagram,2025-08-23,Image,Technology,4820,543,163,66133,58993,1,5526,9.367213059176512,August,Saturday
23,Instagram,2025-08-15,Text,Food,6532,872,329,67458,55844,4,7733,13.847503760475611,August,Friday
